H/MIN/S,Degrees C,Air_Temperature
11:57:31.136039,25.0,Air_Temperature
11:57:35.677910,25.0,Air_Temperature
11:57:40.223301,25.0,Air_Temperature
12:01:17.922681,25.0,Air_Temperature
12:01:42.939290,25.0,Air_Temperature
12:01:52.545479,25.0,Air_Temperature
12:07:18.875320,25.0,Air_Temperature
15:37:24.744957,25.0,Air_Temperature
15:37:31.016084,25.0,Air_Temperature
15:37:34.356793,25.0,Air_Temperature
15:37:38.097637,25.0,Air_Temperature
18:50:55.195593,22.0,Air_Temperature
18:50:57.953220,22.0,Air_Temperature
18:50:59.766627,23.0,Air_Temperature
19:34:50.739850,21.0,Air_Temperature
23:04:53.987553,21.0,Air_Temperature
23:05:00.352009,21.0,Air_Temperature
23:05:03.612509,21.0,Air_Temperature
23:05:04.901552,21.0,Air_Temperature
23:05:08.177612,21.0,Air_Temperature
23:05:09.449749,21.0,Air_Temperature
23:22:45.145946,21.0,Air_Temperature
23:23:14.608729,21.0,Air_Temperature
23:23:21.726399,21.0,Air_Temperature
